Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topic,Year
Radial symmetry is NOT found in adults of phylum:,Echinodermata,Ctenophora,Hemichordata,Coelenterata,C,Biology,Animal Kingdom,2023
"Match List-I with List-II: Taenia, Paramoecium, Periplaneta, Pheretima with Nephridia, Contractile vacuole, Flame cells, Urecose gland respectively. Choose the correct answer from the options given below:","A-II, B-I, C-IV, D-III","A-I, B-II, C-III, D-IV","A-I, B-II, C-IV, D-III","A-III, B-II, C-IV, D-I",D,Biology,Animal Kingdom,2023
Given below are two statements: Statement I: Ligaments are dense irregular tissue Statement II: Cartilage is dense regular tissue. In the light of above statements choose the correct answer from the options given below:,Statement I is false but Statement II is true,Both Statement I and II are true,Both Statement I and II are false,Statement I is true but Statement II is false,C,Biology,Structural Organisation in Animals,2023
Which of the following are NOT considered as the part of endomembrane system?,"Golgi complex, Mitochondria, Lysosomes, Endoplasmic reticulum",Both Mitochondria and Chloroplasts,Both Golgi complex and Lysosomes,Both Endoplasmic reticulum and Golgi complex,A,Biology,Cell: The Unit of Life,2023
Which of the following is characteristic feature of cockroach regarding sexual dimorphism?,Presence of anal styles,Presence of sclerites,Presence of anal cerci,Dark brown body colour and anal cerci,A,Biology,Structural Organisation in Animals,2023
"Select the correct statements: A. Tetrad formation is seen during Leptotene. B. During Anaphase, the centromeres split and chromatids separate. C. Terminalization takes place during Pachytene. D. Nucleolus, Golgi complex and ER are reformed during Telophase. E. Crossing over takes place between sister chromatids of homologous chromosome. Choose the correct answer from the options given below:",B and D only,"A, C and E only",B and E only,A and C only,A,Biology,Cell Cycle and Cell Division,2023
The unique mammalian characteristics are:,"hairs, pinna and mammary glands","hairs, pinna and indirect development","pinna, monocondylic skull and mammary glands","hairs, tympanic membrane and mammary glands",A,Biology,Excretory Products and Their Elimination,2023
Which of the following statements are correct regarding skeletal muscle? A. Muscle bundles are held together by collagenous connective tissue layer called fascicle. B. Sarcoplasmic reticulum of muscle fibre is a store house of calcium ions. C. Striated appearance of skeletal muscle fibre is due to distribution pattern of actin and myosin proteins. D. M line is considered as functional unit of contraction called sarcomere. Choose the most appropriate answer from the options given below:,B and C only,"A, C and D only",C and D only,"A, B and C only",D,Biology,Locomotion and Movement,2023
"Which of the following statements are correct? A. Basophils are most abundant cells of the total WBCs B. Basophils secrete histamine, serotonin and heparin C. Basophils are involved in inflammatory response D. Basophils have kidney shaped nucleus E. Basophils are agranulocytes Choose the correct answer from the options given below:",C and E only,B and C only,A and B only,D and E only,B,Biology,Body Fluids and Circulation,2023
Which of the following is a matching set of a phylum and its three examples?,"Mollusca - Loligo, Teredo, Octopus","Platyhelminthes - Planaria, Schistosoma, Enterobius","Porifera - Spongilla, Euplectella, Pennatula","Cnidaria - Bonellia, Physalia, Aurelia",A,Biology,Animal Kingdom,2023
"Body having meshwork of cells, internal cavities lined with food filtering flagellated cells and indirect development are the characteristics of Phylum:",Coelenterata,Mollusca,Protozoa,Porifera,D,Biology,Animal Kingdom,2023
"In which of the following animals, haemocyanin pigment is found?",Insecta,Annelida,Echinodermata,Mollusca,D,Biology,Animal Kingdom,2023
A marine cartilaginous fish that can produce electric current is:,Torpedo,Pristis,Trygon,Scoliodon,A,Biology,Animal Kingdom,2023
Which of the following characters is absent in all chordates?,Pharyngeal gill clefts,Diaphragm,Coelom,Dorsal nerve cord,B,Biology,Animal Kingdom,2023
Which one of the following regulates respiration in man?,Medulla oblongata,Mid brain,Spinal cord,Fore brain,A,Biology,Neural Control and Coordination,2023
The branch of the science dealing with the study of human skin is called:,Anatomy,Dermatology,Bio-chemistry,Physiology,B,Biology,Human Health and Disease,2023
Malaria is spread by:,Anopheles mosquito (female),Aedes mosquito,Culex mosquito,House fly,A,Biology,Human Health and Disease,2023
Human heart contains:,2 chambers,3 chambers,4 chambers,No chamber,C,Biology,Body Fluids and Circulation,2023
